AFFGEOID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,Shape,Shape.STArea(),Shape.STLength()
0500000US39039,39,OHIO,OH,Defiance,39039,"Defiance County, Ohio",411.44956811,38795.0,0.0,16742.0,123.0,15332.0,263.0,5119.0,640.0,1689.0,248.0,23539.0,724.0,2822.0,268.0,6214.0,52.0,9315.0,30.0,5072.0,419.0,1567.0,240.8,4939.0,24.0,258.0,152.0,512.0,144.0,988.0,173.0,233.0,86.7,828.0,170.0,713.0,251.0,13.5,1.7,8.6,1.2,23539.0,724.0,10.9,1.0,16.0,0.1,24.0,0.1,13.2,1.1,10.2,1.6,12.7,0.1,0.7,0.4,3.1,0.9,5.9,1.0,1.5,0.6,5.4,1.1,1.8,0.6,0.2989,0.4138,0.4713,0.3678,1.5517,0.3448,0.5517,0.6437,0.2989,0.7931,2.2874,0.7241,0.8276,0.7471,1.5747,0.8391,0.4138,0.4483,0.6667,0.2529,0.4598,2.2414,0.3333,7.6552,0.5172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4182.0,482.0,10.9,1.2,38915.0,"(-84.49047483599412, 41.32391658868772)",0.11535745259158758,1.6737056623375428
0500000US39095,39,OHIO,OH,Lucas,39095,"Lucas County, Ohio",340.85567033,438167.0,0.0,202323.0,318.0,178121.0,967.0,90339.0,2844.0,26931.0,1107.0,24683.0,335.0,33474.0,1203.0,60559.0,0.0,102958.0,0.0,64585.0,1636.0,21742.0,881.7,129961.0,222.0,2562.0,376.5,23298.0,1048.4,4879.0,446.0,1767.0,299.2,19302.0,738.0,9933.0,703.0,21.1,0.7,12.3,0.5,24683.0,335.0,11.6,0.4,13.8,0.0,23.5,0.0,14.9,0.4,12.2,0.5,29.7,0.1,0.6,0.1,11.5,0.5,2.4,0.2,1.0,0.2,10.8,0.4,2.3,0.2,0.9195,0.9425,0.3218,0.4713,2.6552,0.7241,0.1724,0.4828,0.5862,0.9885,2.2299,0.6552,0.9655,0.6782,1.6437,0.8966,0.9655,0.1609,0.2759,0.9655,0.5747,2.9425,0.7126,9.4713,0.8621,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,50150.0,2346.0,11.6,0.5,479637.0,"(-83.65655064601188, 41.62054361784616)",0.09815164507468914,1.979386347877749
0500000US39115,39,OHIO,OH,Morgan,39115,"Morgan County, Ohio",416.42320049,14977.0,0.0,7858.0,40.0,6056.0,219.0,2851.0,414.0,577.0,150.0,21010.0,2109.0,1410.0,167.0,2733.0,35.0,3384.0,30.0,2733.0,254.0,480.0,123.4,1093.0,22.0,25.0,73.0,161.0,46.9,1659.0,222.0,111.0,55.4,392.0,99.0,186.0,89.0,19.5,2.8,9.0,2.3,21010.0,2109.0,13.5,1.6,18.2,0.2,22.6,0.2,18.5,1.7,7.9,2.0,7.3,0.1,0.2,0.5,2.0,0.6,21.1,2.8,1.8,0.9,6.5,1.6,1.2,0.6,0.8851,0.5057,0.8161,0.7241,2.931,0.8046,0.8851,0.2989,0.8851,0.2414,2.3103,0.7471,0.5517,0.1839,0.7356,0.2874,0.2874,0.9425,0.8506,0.4483,0.2414,2.7701,0.6092,8.7471,0.7471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1988.0,298.0,13.4,2.0,12638.0,"(-81.8526722143366, 39.62037593029601)",0.11458630568008142,1.6844800809502456
0500000US39043,39,OHIO,OH,Erie,39043,"Erie County, Ohio",251.59523197,76416.0,0.0,37777.0,130.0,31998.0,519.0,9543.0,956.0,3340.0,406.0,26909.0,941.0,5441.0,527.0,14041.0,81.0,16397.0,68.0,10936.0,596.0,2824.0,333.8,11929.0,103.0,301.0,131.5,2426.0,320.3,1438.0,252.0,295.0,124.6,2258.0,288.0,1450.0,260.0,12.7,1.3,8.6,1.0,26909.0,941.0,10.1,1.0,18.4,0.1,21.5,0.1,14.5,0.8,8.8,1.0,15.6,0.1,0.4,0.2,6.4,0.8,3.8,0.7,0.9,0.4,7.1,0.9,1.9,0.3,0.2069,0.4138,0.1954,0.2069,1.023,0.1839,0.908,0.1494,0.5517,0.4713,2.0805,0.5172,0.8851,0.5057,1.3908,0.7816,0.8046,0.2069,0.2184,0.6207,0.4828,2.3333,0.3793,6.8276,0.3678,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7997.0,802.0,10.6,1.1,81301.0,"(-82.61966439243704, 41.36466153890492)",0.07211868461856265,1.7516002039080505
0500000US39061,39,OHIO,OH,Hamilton,39061,"Hamilton County, Ohio",405.90600054,803272.0,0.0,377018.0,520.0,329062.0,1560.0,144831.0,3817.0,40144.0,1534.0,30062.0,303.0,57814.0,1765.0,109876.0,13.0,187740.0,105.0,98909.0,1912.0,36938.0,1136.7,264583.0,372.0,8265.0,859.0,63809.0,1553.8,3586.0,375.0,4936.0,490.2,40831.0,1355.0,18111.0,1158.0,18.4,0.5,9.6,0.4,30062.0,303.0,10.8,0.3,13.7,0.1,23.4,0.0,12.4,0.2,11.2,0.3,32.9,0.0,1.1,0.1,16.9,0.4,1.0,0.1,1.5,0.1,12.4,0.4,2.3,0.1,0.7356,0.5862,0.0575,0.3448,1.7241,0.4253,0.1264,0.4598,0.2184,0.931,1.7356,0.2989,0.977,0.8966,1.8736,0.977,0.9885,0.0115,0.6437,0.977,0.5632,3.1839,0.8391,8.5172,0.6897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,86051.0,2612.0,10.8,0.3,960071.0,"(-84.54277995533144, 39.195538644857066)",0.11142309136104088,1.743744680672124
0500000US39073,39,OHIO,OH,Hocking,39073,"Hocking County, Ohio",421.3255955,29111.0,0.0,13367.0,81.0,11426.0,287.0,4773.0,668.0,1320.0,194.0,21253.0,926.0,2620.0,280.0,4730.0,49.0,6887.0,95.0,4647.0,375.0,930.0,192.6,925.0,15.0,76.0,85.9,265.0,93.4,2548.0,261.0,217.0,90.1,631.0,142.0,703.0,175.0,16.8,2.4,9.7,1.5,21253.0,926.0,13.1,1.4,16.2,0.2,23.7,0.3,16.3,1.3,8.1,1.7,3.2,0.1,0.3,0.3,2.0,0.7,19.1,2.0,1.9,0.8,5.5,1.2,2.4,0.6,0.5977,0.6322,0.7816,0.6437,2.6552,0.7241,0.6092,0.5517,0.7471,0.2989,2.2069,0.6437,0.092,0.2989,0.3908,0.1264,0.2299,0.9195,0.8621,0.2989,0.6207,2.931,0.7011,8.1839,0.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3700.0,463.0,13.0,1.6,23512.0,"(-82.4792587251364, 39.49706417989027)",0.11489658734210063,1.7524526141869692
0500000US39117,39,OHIO,OH,Morrow,39117,"Morrow County, Ohio",406.13337331,34991.0,0.0,14117.0,64.0,12640.0,338.0,4608.0,863.0,1430.0,258.0,22825.0,888.0,2967.0,363.0,5081.0,34.0,8878.0,123.0,4810.0,488.0,1116.0,243.6,1233.0,24.0,167.0,136.3,191.0,86.3,2145.0,362.0,204.0,108.4,689.0,193.0,392.0,122.0,13.4,2.5,8.3,1.5,22825.0,888.0,12.6,1.5,14.5,0.1,25.4,0.4,13.9,1.4,8.8,1.9,3.5,0.1,0.5,0.4,1.4,0.6,15.2,2.6,1.6,0.9,5.5,1.5,1.1,0.3,0.2759,0.3678,0.5632,0.5517,1.7586,0.4713,0.2644,0.908,0.4483,0.4828,2.1034,0.5287,0.1379,0.6092,0.7471,0.3103,0.069,0.8161,0.7356,0.2989,0.1839,2.1034,0.2874,6.7126,0.3448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3838.0,742.0,11.1,2.1,23847.0,"(-82.79407722153792, 40.524079365975595)",0.11206711011160449,1.5465772485756994
0500000US39167,39,OHIO,OH,Washington,39167,"Washington County, Ohio",631.97145128,61473.0,0.0,28197.0,178.0,24923.0,424.0,9859.0,881.0,2430.0,343.0,23933.0,914.0,4746.0,441.0,11316.0,118.0,12465.0,89.0,11367.0,622.0,1538.0,232.7,2737.0,51.0,122.0,138.9,1327.0,212.2,3367.0,290.0,264.0,108.8,1561.0,238.0,1684.0,409.0,16.6,1.5,8.6,1.2,23933.0,914.0,10.9,1.0,18.4,0.2,20.3,0.1,18.7,1.0,6.2,0.9,4.5,0.1,0.2,0.2,4.7,0.8,11.9,1.0,1.1,0.4,6.3,0.9,2.7,0.7,0.5862,0.4138,0.3793,0.3678,1.7471,0.4598,0.908,0.069,0.908,0.046,1.931,0.4023,0.2759,0.2069,0.4828,0.1724,0.6552,0.7356,0.3333,0.4138,0.6782,2.8161,0.6437,6.977,0.4023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6552.0,647.0,10.8,1.1,59744.0,"(-81.49528558030394, 39.45531544880074)",0.17344014031073585,2.4824388390113072
0500000US39171,39,OHIO,OH,Williams,39171,"Williams County, Ohio",420.96527739,37493.0,0.0,16593.0,116.0,15001.0,269.0,5257.0,724.0,1799.0,300.0,21413.0,544.0,2845.0,297.0,6281.0,57.0,8666.0,81.0,5025.0,350.0,1363.0,212.8,2469.0,21.0,248.0,115.5,300.0,124.8,1173.0,162.0,170.0,79.1,758.0,188.0,1236.0,269.0,14.5,2.0,9.8,1.6,21413.0,544.0,11.0,1.1,16.8,0.2,23.1,0.2,13.8,1.0,9.1,1.4,6.6,0.1,0.7,0.3,1.8,0.8,7.1,1.0,1.1,0.5,5.1,1.2,3.3,0.7,0.4023,0.6897,0.7701,0.4253,2.2874,0.6092,0.7126,0.3908,0.4023,0.5517,2.0575,0.4713,0.4713,0.7356,1.2069,0.6437,0.1609,0.5517,0.4138,0.1839,0.7471,2.0575,0.2759,7.6092,0.4943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3745.0,453.0,10.3,1.2,36474.0,"(-84.58815806350506, 41.56031516680307)",0.1183062254812889,1.472911667924567
0500000US39035,39,OHIO,OH,Cuyahoga,39035,"Cuyahoga County, Ohio",457.14494947,1267513.0,0.0,619863.0,713.0,534721.0,2402.0,230111.0,4175.0,74098.0,1814.0,27892.0,221.0,106332.0,2055.0,201715.0,37.0,279120.0,18.0,178835.0,2755.0,58454.0,1447.8,497913.0,279.0,21840.0,1121.0,109576.0,1574.1,3501.0,369.0,5186.0,468.3,73370.0,1500.0,28270.0,1301.0,18.5,0.3,11.4,0.3,27892.0,221.0,12.2,0.2,15.9,0.1,22.0,0.0,14.3,0.2,10.9,0.3,39.3,0.0,1.8,0.1,17.7,0.3,0.6,0.1,1.0,0.1,13.7,0.3,2.2,0.1,0.7586,0.8851,0.1494,0.5287,2.3218,0.6207,0.4943,0.2184,0.5287,0.8966,2.1379,0.5862,1.0,0.977,1.977,0.9885,1.0,0.0,0.2529,0.9885,0.5517,2.7931,0.6207,9.2299,0.8161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,135469.0,3269.0,10.8,0.3,1484440.0,"(-81.6586481917561, 41.4244412232045)",0.1281748394364855,1.9245309234748391
