ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
39,OHIO,OH,Adams,39001,"Adams County, Ohio",583.866894993574,28111.0,0.0,12782.0,67.0,10885.0,343.0,6770.0,864.0,1120.0,226.0,18901.0,937.0,4159.0,384.0,4609.0,53.0,6898.0,54.0,5794.0,488.0,1139.0,219.4,935.0,6.0,0.0,84.0,200.0,78.7,3430.0,337.0,160.0,80.4,1002.0,213.0,378.0,152.0,24.5,3.1,9.9,2.0,18901.0,937.0,21.8,2.0,16.4,0.2,24.5,0.2,20.8,1.7,10.5,2.0,3.3,0.0,0.0,0.3,1.6,0.6,26.8,2.6,1.5,0.7,9.2,1.9,1.3,0.5,0.9885,0.9425,0.9885,0.977,3.8966,1.0,0.4368,0.8621,0.9195,0.8161,3.0345,0.9885,0.0805,0.0,0.0805,0.0115,0.0805,0.9885,0.6207,0.908,0.3218,2.9195,0.7011,9.931000000000001,0.908,1.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,3526.0,450.0,12.7,1.6,23906.0
39,OHIO,OH,Allen,39003,"Allen County, Ohio",402.49978861969,104664.0,0.0,44850.0,208.0,40039.0,527.0,16228.0,1046.0,3957.0,436.0,23600.0,697.0,7426.0,509.0,16636.0,79.0,24459.0,44.0,15474.0,651.0,4392.0,409.4,19311.0,66.0,324.0,166.3,2668.0,256.0,2006.0,238.0,552.0,154.5,2983.0,294.0,4103.0,466.0,16.1,1.0,7.6,0.8,23600.0,697.0,10.7,0.7,15.9,0.1,23.4,0.0,15.2,0.6,11.0,1.0,18.5,0.1,0.3,0.2,5.9,0.6,4.5,0.5,1.4,0.4,7.5,0.7,3.9,0.4,0.6322,0.6092,0.6322,0.4598,2.3333,0.6207,0.3333,0.5977,0.5632,0.954,2.4483,0.7931,0.908,0.4138,1.3218,0.7241,0.7586,0.3103,0.5057,0.6552,0.8046,3.0345,0.7931,9.1379,0.7701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9259.0,799.0,9.1,0.8,115591.0
39,OHIO,OH,Ashland,39005,"Ashland County, Ohio",422.95317141177,53343.0,0.0,22104.0,106.0,20391.0,292.0,7859.0,1007.0,1488.0,264.0,22604.0,668.0,4428.0,424.0,9219.0,77.0,12253.0,63.0,7657.0,551.0,1694.0,265.1,2076.0,30.0,693.0,351.1,991.0,180.4,1254.0,199.0,426.0,163.0,1436.0,227.0,2181.0,245.0,15.4,2.0,5.7,1.0,22604.0,668.0,12.6,1.2,17.3,0.1,23.0,0.1,14.5,1.0,8.3,1.3,3.9,0.1,1.4,0.7,4.5,0.8,5.7,0.9,2.1,0.8,7.0,1.1,4.1,0.5,0.5517,0.2184,0.7241,0.6667,2.1609,0.5632,0.6437,0.4253,0.4713,0.3678,1.908,0.3908,0.1724,0.9655,1.1379,0.5632,0.6322,0.4253,0.908,0.5632,0.8161,3.3448,0.9195,8.5517,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5871.0,880.0,11.1,1.7,50016.0
39,OHIO,OH,Ashtabula,39007,"Ashtabula County, Ohio",701.936660337802,99175.0,0.0,45850.0,156.0,38800.0,580.0,18735.0,1467.0,3545.0,407.0,20978.0,415.0,10022.0,564.0,17123.0,73.0,22426.0,63.0,15331.0,672.0,3875.0,401.1,9887.0,54.0,680.0,241.9,2120.0,282.1,3471.0,337.0,703.0,159.5,3192.0,326.0,3505.0,325.0,19.6,1.5,8.1,0.9,20978.0,415.0,14.6,0.8,17.3,0.1,22.6,0.1,16.0,0.7,10.0,1.0,10.0,0.1,0.7,0.3,4.6,0.6,7.6,0.7,1.8,0.4,8.2,0.8,3.5,0.3,0.8506,0.7356,0.8966,0.8391,3.3218,0.8736,0.6437,0.3563,0.7011,0.7586,2.4598,0.8161,0.6667,0.7586,1.4253,0.7931,0.6667,0.6092,0.7931,0.7586,0.7701,3.5977,0.9655,10.8046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10573.0,1033.0,11.0,1.1,86444.0
39,OHIO,OH,Athens,39009,"Athens County, Ohio",503.62516305944,65103.0,0.0,26370.0,229.0,22328.0,407.0,17301.0,1008.0,2820.0,333.0,18602.0,784.0,3686.0,355.0,7392.0,57.0,9924.0,0.0,10134.0,655.0,1772.0,292.1,6580.0,48.0,260.0,127.1,2511.0,338.3,4231.0,343.0,488.0,159.1,1879.0,310.0,9692.0,558.0,31.2,1.7,9.4,1.1,18602.0,784.0,10.3,1.0,11.4,0.1,15.2,0.0,15.7,1.0,7.9,1.3,10.1,0.1,0.4,0.2,9.5,1.3,16.0,1.3,2.2,0.7,8.4,1.4,14.9,0.9,1.0,0.8851,1.0,0.3793,3.2644,0.8621,0.023,0.0,0.6667,0.2874,0.977,0.0345,0.6897,0.5517,1.2414,0.6667,0.908,0.8736,0.954,0.8046,0.9885,4.5287,1.0,10.0115,0.931,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,4926.0,542.0,7.6,0.8,73502.0
39,OHIO,OH,Auglaize,39011,"Auglaize County, Ohio",401.391360434356,45871.0,0.0,19679.0,93.0,18231.0,265.0,3973.0,575.0,959.0,204.0,26690.0,741.0,2220.0,259.0,7753.0,40.0,11161.0,22.0,5365.0,336.0,1256.0,214.0,1725.0,70.0,121.0,104.4,634.0,162.6,781.0,164.0,255.0,81.4,960.0,152.0,522.0,146.0,8.8,1.3,4.0,0.8,26690.0,741.0,7.2,0.8,16.9,0.1,24.3,0.0,11.8,0.7,6.9,1.2,3.8,0.2,0.3,0.2,3.2,0.8,4.0,0.8,1.4,0.4,5.3,0.8,1.1,0.3,0.092,0.046,0.2874,0.0575,0.4828,0.0805,0.5747,0.8276,0.1494,0.1034,1.6552,0.2414,0.1264,0.3563,0.4828,0.1724,0.4483,0.2529,0.5517,0.2529,0.2069,1.7126000000000001,0.1379,4.3333,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2494.0,344.0,5.5,0.8,44128.0
39,OHIO,OH,Belmont,39013,"Belmont County, Ohio",532.13068954795,69228.0,0.0,32119.0,154.0,27732.0,420.0,9839.0,812.0,2512.0,355.0,24533.0,795.0,5154.0,445.0,13086.0,78.0,13194.0,72.0,10984.0,643.0,2194.0,267.4,4769.0,55.0,54.0,98.5,1311.0,197.6,2805.0,327.0,159.0,96.8,2299.0,273.0,4046.0,326.0,15.1,1.3,7.8,1.1,24533.0,795.0,10.1,0.9,18.9,0.1,19.1,0.1,16.8,1.0,7.9,1.0,6.9,0.1,0.1,0.1,4.1,0.6,8.7,1.0,0.6,0.3,8.3,1.0,5.8,0.5,0.5287,0.6782,0.4828,0.3448,2.0345,0.5287,0.8621,0.023,0.7701,0.2759,1.931,0.4138,0.4828,0.0345,0.5172,0.2069,0.5747,0.6667,0.0345,0.7931,0.908,2.977,0.7471,7.4597999999999995,0.4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5562.0,488.0,8.5,0.8,64965.0
39,OHIO,OH,Brown,39015,"Brown County, Ohio",490.016952123302,44059.0,0.0,19599.0,75.0,17047.0,335.0,7179.0,794.0,1650.0,297.0,23776.0,1119.0,4479.0,442.0,7412.0,84.0,10251.0,56.0,6806.0,422.0,1650.0,275.7,1463.0,52.0,38.0,93.3,390.0,109.4,3677.0,321.0,276.0,128.5,1013.0,192.0,576.0,154.0,16.7,1.8,8.0,1.4,23776.0,1119.0,14.7,1.5,16.8,0.2,23.3,0.1,15.6,1.0,9.7,1.6,3.3,0.1,0.1,0.2,2.0,0.6,18.8,1.6,1.6,0.8,5.9,1.1,1.3,0.3,0.6667,0.7126,0.5862,0.8621,2.8276,0.7816,0.5402,0.5632,0.6437,0.6667,2.4138,0.7586,0.069,0.046,0.1149,0.0345,0.2184,0.931,0.7586,0.3793,0.2989,2.5862,0.5517,7.9425,0.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4432.0,576.0,10.2,1.3,34186.0
39,OHIO,OH,Butler,39017,"Butler County, Ohio",467.001508428802,373638.0,0.0,149418.0,253.0,135100.0,1005.0,49134.0,2226.0,11637.0,734.0,28556.0,412.0,24528.0,1162.0,49282.0,45.0,90379.0,0.0,43218.0,1329.0,12831.0,758.1,64732.0,216.0,4469.0,572.2,13700.0,705.3,4305.0,382.0,1995.0,322.0,7457.0,536.0,11480.0,510.0,13.6,0.6,6.1,0.4,28556.0,412.0,10.3,0.5,13.2,0.1,24.2,0.0,11.7,0.4,9.5,0.6,17.3,0.1,1.3,0.2,9.2,0.5,2.9,0.3,1.5,0.2,5.5,0.4,3.1,0.1,0.3908,0.3103,0.1839,0.3793,1.2644,0.2414,0.069,0.7816,0.1379,0.6322,1.6207,0.2069,0.8966,0.954,1.8506,0.954,0.8851,0.1724,0.6437,0.2874,0.7011,2.6897,0.5977,7.4253,0.4713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28987.0,1397.0,7.8,0.4,356819.0
39,OHIO,OH,Carroll,39019,"Carroll County, Ohio",394.608196945716,28108.0,0.0,13543.0,55.0,10871.0,324.0,3873.0,687.0,890.0,209.0,25093.0,1489.0,2594.0,337.0,5399.0,69.0,5990.0,75.0,3903.0,361.0,642.0,163.3,970.0,21.0,73.0,91.2,122.0,67.5,1821.0,249.0,213.0,102.3,566.0,129.0,451.0,131.0,14.0,2.5,6.7,1.6,25093.0,1489.0,13.0,1.7,19.2,0.2,21.3,0.3,14.0,1.3,5.9,1.5,3.5,0.1,0.3,0.3,0.9,0.5,13.4,1.8,2.0,0.9,5.2,1.2,1.6,0.5,0.4368,0.4943,0.4023,0.7241,2.0575,0.5517,0.8851,0.2069,0.3563,0.0345,1.4828000000000001,0.1839,0.1034,0.3218,0.4253,0.1494,0.0115,0.7931,0.8391,0.2299,0.4023,2.2759,0.3908,6.2414,0.2874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3231.0,529.0,11.6,1.9,20630.0
