AFFGEOID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,Shape,Shape.STArea(),Shape.STLength()
0500000US42005,42,PENNSYLVANIA,PA,Armstrong,42005,"Armstrong County, Pennsylvania",653.20232188,68343.0,0.0,32442.0,111.0,28616.0,372.0,8972.0,596.0,2653.0,260.0,24266.0,451.0,5413.0,357.0,13168.0,53.0,13651.0,21.0,12611.0,582.0,2296.0,227.7,1717.0,8.0,175.0,111.4,971.0,146.7,3486.0,231.0,196.0,54.1,2297.0,271.0,860.0,181.0,13.3,0.9,8.0,0.8,24266.0,451.0,10.9,0.7,19.3,0.1,20.0,0.0,18.6,0.9,8.0,0.8,2.5,0.0,0.3,0.2,3.0,0.5,10.7,0.7,0.7,0.2,8.0,0.9,1.3,0.3,0.5,0.6061,0.5,0.3636,1.9697,0.4848,0.803,0.303,0.9545,0.5455,2.6061,0.8939,0.0455,0.1515,0.197,0.0758,0.3333,0.6667,0.1364,0.5152,0.0758,1.7273,0.1212,6.5,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5748.0,459.0,8.5,0.7,57414.0,"(-79.46452798203288, 40.81230451162973)",0.18349621699632265,2.5039275427437033
0500000US42031,42,PENNSYLVANIA,PA,Clarion,42031,"Clarion County, Pennsylvania",600.83409487,39437.0,0.0,19920.0,139.0,15846.0,254.0,7135.0,558.0,1577.0,161.0,22341.0,535.0,2973.0,209.0,6731.0,49.0,7543.0,0.0,6225.0,340.0,1115.0,187.2,1355.0,50.0,119.0,95.1,896.0,169.8,2560.0,187.0,241.0,84.9,1339.0,181.0,1728.0,298.0,18.9,1.4,8.4,0.8,22341.0,535.0,11.5,0.8,17.1,0.1,19.1,0.0,16.0,0.9,7.0,1.2,3.4,0.1,0.3,0.3,4.5,0.9,12.9,0.9,1.5,0.5,8.5,1.1,4.4,0.8,0.9545,0.7424,0.8788,0.5303,3.1061,0.9394,0.3939,0.1364,0.6667,0.2576,1.4545,0.1515,0.1515,0.2576,0.4091,0.1515,0.5909,0.8333,0.803,0.5758,0.6818,3.4848,0.9394,8.4545,0.7273,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,358.0,10.0,0.9,40984.0,"(-79.42096060683843, 41.19239858496117)",0.16953168192632534,2.1174473630897106
0500000US42035,42,PENNSYLVANIA,PA,Clinton,42035,"Clinton County, Pennsylvania",887.98382759,39611.0,0.0,19045.0,227.0,14947.0,365.0,6248.0,591.0,1302.0,191.0,21595.0,919.0,3296.0,286.0,6603.0,55.0,8096.0,59.0,5604.0,373.0,1277.0,158.5,1789.0,19.0,231.0,84.5,636.0,117.9,1823.0,193.0,173.0,52.5,1299.0,167.0,2525.0,555.0,16.9,1.5,6.9,1.0,21595.0,919.0,13.1,1.1,16.7,0.1,20.4,0.1,14.4,1.0,8.5,1.0,4.5,0.0,0.6,0.2,3.3,0.6,9.6,1.0,1.2,0.4,8.7,1.1,6.4,1.4,0.9242,0.2576,0.9242,0.7424,2.8485,0.8636,0.3333,0.4394,0.3636,0.7121,1.8485,0.3636,0.2576,0.5455,0.803,0.4091,0.4848,0.6364,0.5455,0.6212,0.8788,3.1667,0.8636,8.6667,0.7727,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4209.0,386.0,10.8,1.0,39518.0,"(-77.6381605704692, 41.23405191158782)",0.24956119967527532,2.721766391461363
0500000US42045,42,PENNSYLVANIA,PA,Delaware,42045,"Delaware County, Pennsylvania",183.84336499,560775.0,0.0,222430.0,389.0,204571.0,1006.0,56868.0,2908.0,25867.0,973.0,33539.0,429.0,30222.0,1004.0,81977.0,62.0,127923.0,21.0,62837.0,1645.0,19011.0,882.7,169506.0,205.0,9797.0,791.9,27426.0,859.1,631.0,153.0,2339.0,320.3,23238.0,928.0,22302.0,989.0,10.5,0.5,8.9,0.3,33539.0,429.0,8.1,0.3,14.6,0.1,22.8,0.0,11.4,0.3,9.3,0.4,30.2,0.0,1.9,0.2,12.3,0.4,0.3,0.1,1.1,0.2,11.4,0.5,4.0,0.2,0.1818,0.8485,0.0455,0.1061,1.1818,0.1667,0.0758,0.8636,0.1061,0.8333,1.8788,0.3788,0.9242,0.8485,1.7727,0.9091,0.9394,0.0152,0.5303,0.9545,0.6364,3.0758,0.8182,7.9091,0.6061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,47438.0,1997.0,8.6,0.4,504978.0,"(-75.39908530634877, 39.91669852337368)",0.05207243298252956,1.2727107191646945
0500000US42055,42,PENNSYLVANIA,PA,Franklin,42055,"Franklin County, Pennsylvania",772.22413522,151517.0,0.0,63779.0,147.0,58298.0,577.0,17270.0,1396.0,5443.0,530.0,25540.0,429.0,14733.0,918.0,26346.0,150.0,35457.0,0.0,17724.0,730.0,4740.0,447.2,15921.0,88.0,1941.0,462.3,1920.0,272.3,4849.0,427.0,882.0,206.7,3116.0,321.0,2461.0,338.0,11.6,0.9,7.2,0.7,25540.0,429.0,14.2,0.9,17.4,0.1,23.4,0.0,11.8,0.5,8.1,0.8,10.5,0.1,1.4,0.3,3.0,0.4,7.6,0.7,1.5,0.4,5.3,0.6,1.6,0.2,0.303,0.3182,0.3485,0.803,1.7727,0.4091,0.4242,0.9697,0.1364,0.6061,2.1364,0.6061,0.6667,0.7424,1.4091,0.697,0.3788,0.4697,0.7879,0.1818,0.197,2.0152,0.2424,7.3333,0.4697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18890.0,1462.0,12.6,1.0,134145.0,"(-77.7212811046802, 39.927405326260676)",0.2108965363266466,2.203898730744277
0500000US42061,42,PENNSYLVANIA,PA,Huntingdon,42061,"Huntingdon County, Pennsylvania",874.65108421,45950.0,0.0,22402.0,205.0,17231.0,298.0,5601.0,530.0,1640.0,184.0,20918.0,562.0,4030.0,249.0,8089.0,51.0,8823.0,33.0,6607.0,288.0,1227.0,193.3,3944.0,26.0,155.0,98.9,472.0,100.0,2824.0,194.0,207.0,55.2,1313.0,151.0,5109.0,465.0,13.7,1.3,8.1,0.8,20918.0,562.0,12.3,0.8,17.6,0.1,19.2,0.1,15.7,0.7,7.1,1.1,8.6,0.1,0.4,0.2,2.1,0.4,12.6,0.9,1.2,0.3,7.6,0.9,11.1,1.0,0.5758,0.6364,0.9697,0.6212,2.803,0.8485,0.4697,0.1667,0.6061,0.303,1.5455,0.1818,0.5909,0.303,0.8939,0.4697,0.1667,0.7879,0.6212,0.4545,0.9545,2.9848,0.7727,8.2273,0.6818,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3981.0,316.0,9.4,0.7,40540.0,"(-77.98120695344583, 40.41695322144273)",0.2443679318619645,2.8195958010685316
0500000US42091,42,PENNSYLVANIA,PA,Montgomery,42091,"Montgomery County, Pennsylvania",483.03830751,809372.0,0.0,326528.0,516.0,307953.0,1342.0,50688.0,2183.0,30357.0,1348.0,41699.0,337.0,36479.0,1439.0,127132.0,114.0,181421.0,21.0,74958.0,1834.0,19930.0,879.8,178750.0,328.0,15821.0,955.9,46177.0,1150.5,2848.0,280.0,2858.0,364.5,19007.0,864.0,20788.0,1259.0,6.4,0.3,6.8,0.3,41699.0,337.0,6.5,0.3,15.7,0.1,22.4,0.0,9.4,0.2,6.5,0.3,22.1,0.0,2.1,0.1,14.1,0.4,0.9,0.1,0.9,0.1,6.2,0.3,2.6,0.2,0.0152,0.2424,0.0152,0.0,0.2727,0.0152,0.197,0.8182,0.0152,0.1818,1.2121,0.1061,0.8939,0.8788,1.7727,0.9091,0.9848,0.0455,0.303,0.2727,0.3636,1.9697,0.2121,5.2273,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50042.0,1625.0,6.3,0.2,922892.0,"(-75.36728387658925, 40.210826290373255)",0.13349631889854874,2.0484638382551608
0500000US42111,42,PENNSYLVANIA,PA,Somerset,42111,"Somerset County, Pennsylvania",1074.36642828,77011.0,0.0,38054.0,189.0,29748.0,419.0,9206.0,757.0,2700.0,306.0,22618.0,546.0,7736.0,432.0,14994.0,54.0,14456.0,33.0,11834.0,514.0,1760.0,209.2,3741.0,18.0,315.0,112.2,1382.0,144.2,4334.0,291.0,347.0,123.1,2094.0,183.0,4657.0,453.0,12.7,1.0,7.5,0.8,22618.0,546.0,13.6,0.8,19.5,0.1,18.8,0.0,16.3,0.7,5.9,0.7,4.9,0.0,0.4,0.2,3.6,0.4,11.4,0.8,1.2,0.4,7.0,0.6,6.0,0.6,0.3939,0.4242,0.8333,0.7727,2.4242,0.6364,0.8636,0.1212,0.7273,0.0909,1.803,0.3182,0.3333,0.4091,0.7424,0.3182,0.5152,0.6818,0.5606,0.3485,0.8182,2.9242,0.7273,7.8939,0.5909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7085.0,514.0,9.8,0.7,68274.0,"(-79.02826429325857, 39.972468609812374)",0.2951705897248648,2.5588414559855788
0500000US42123,42,PENNSYLVANIA,PA,Warren,42123,"Warren County, Pennsylvania",884.14046365,41218.0,0.0,23445.0,100.0,17029.0,305.0,5224.0,463.0,1391.0,161.0,25054.0,1058.0,2981.0,228.0,8173.0,72.0,8291.0,50.0,7060.0,446.0,1022.0,133.7,1107.0,5.0,155.0,108.1,638.0,98.3,2802.0,181.0,191.0,60.8,1251.0,159.0,766.0,154.0,13.0,1.2,7.0,0.8,25054.0,1058.0,9.9,0.8,19.8,0.2,20.1,0.1,17.4,1.1,6.0,0.8,2.7,0.0,0.4,0.3,2.7,0.4,12.0,0.8,1.1,0.4,7.3,0.9,1.9,0.4,0.4545,0.2879,0.4545,0.2424,1.4394,0.2424,0.9394,0.3636,0.8182,0.1212,2.2424,0.6667,0.0606,0.3485,0.4091,0.1515,0.2727,0.7273,0.4697,0.3939,0.2424,2.1061,0.2576,6.197,0.197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3769.0,364.0,9.3,0.9,36753.0,"(-79.27410542138207, 41.81449663943437)",0.2522317525206587,2.135546506520398
0500000US42125,42,PENNSYLVANIA,PA,Washington,42125,"Washington County, Pennsylvania",856.98649184,208157.0,0.0,93442.0,281.0,83644.0,735.0,21377.0,1057.0,7612.0,551.0,29816.0,482.0,13654.0,597.0,37826.0,72.0,41860.0,0.0,29945.0,942.0,5559.0,486.5,14372.0,96.0,874.0,193.4,4980.0,379.2,5446.0,379.0,559.0,142.4,6301.0,495.0,5215.0,603.0,10.5,0.5,7.1,0.5,29816.0,482.0,9.2,0.4,18.2,0.1,20.1,0.0,14.5,0.5,6.6,0.6,6.9,0.0,0.4,0.1,5.3,0.4,5.8,0.4,0.7,0.2,7.5,0.6,2.5,0.3,0.1818,0.303,0.1364,0.1515,0.7727,0.0909,0.5152,0.3485,0.4091,0.2121,1.4848,0.1667,0.4848,0.4394,0.9242,0.5,0.7424,0.3788,0.1061,0.4242,0.3485,2.0,0.2273,5.1818,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15404.0,892.0,7.5,0.4,204132.0,"(-80.24822984302969, 40.18939136274717)",0.23579607712455367,2.61038539504434
0500000US42023,42,PENNSYLVANIA,PA,Cameron,42023,"Cameron County, Pennsylvania",396.23010488,4939.0,0.0,4422.0,41.0,2214.0,99.0,623.0,120.0,126.0,32.0,25087.0,2262.0,441.0,72.0,1107.0,7.0,884.0,27.0,892.0,90.0,227.0,60.2,119.0,10.0,7.0,39.1,137.0,36.8,613.0,56.0,1.0,10.4,205.0,55.0,94.0,67.0,12.8,2.5,5.3,1.4,25087.0,2262.0,11.8,1.9,22.4,0.1,17.9,0.5,18.2,1.8,10.3,2.7,2.4,0.2,0.1,0.8,3.1,0.8,13.9,1.3,0.0,0.5,9.3,2.4,1.9,1.4,0.4242,0.0,0.4394,0.5758,1.4394,0.2424,0.9848,0.0455,0.9242,0.9394,2.8939,0.9848,0.0152,0.0303,0.0455,0.0152,0.3939,0.8788,0.0,0.7424,0.2727,2.2879,0.4091,6.6667,0.2879,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,404.0,116.0,8.3,2.4,5319.0,"(-78.20388040255416, 41.436729365501826)",0.11115706403934039,1.4963524237114119
